Algorithm,Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Shortfall,Operations,Time (Milli)
Simulated Annealing,f3_l-d_kp_4_20,1,4,28,35,7,24011,25
Simulated Annealing,f4_l-d_kp_4_11,1,4,29,23,-6,24004,26
Simulated Annealing,f6_l-d_kp_10_60,1,10,56,52,-4,60010,33
Simulated Annealing,f7_l-d_kp_7_50,1,7,69,107,38,42010,28
Simulated Annealing,f8_l-d_kp_23_10000,1,23,9731,9767,36,138042,73
Simulated Annealing,f9_l-d_kp_5_80,1,5,109,130,21,30014,29
Simulated Annealing,f10_l-d_kp_20_879,1,20,911,1025,114,120086,65
Simulated Annealing,f1_l-d_kp_10_269,1,10,242,295,53,60010,40
Simulated Annealing,f2_l-d_kp_20_878,1,20,828,1024,196,120078,64
Simulated Annealing,f3_l-d_kp_4_20,1,4,37,35,-2,24010,28
Simulated Annealing,f4_l-d_kp_4_11,1,4,22,23,1,24007,26
Simulated Annealing,f6_l-d_kp_10_60,1,10,62,52,-10,60010,34
Simulated Annealing,f7_l-d_kp_7_50,1,7,59,107,48,42009,29
Simulated Annealing,f8_l-d_kp_23_10000,1,23,9073,9767,694,138027,57
Simulated Annealing,f9_l-d_kp_5_80,1,5,142,130,-12,30014,33
